source,location,translation
I tried to carve my name on this...,WISE.PAK\WISE.EMC,
...but Nolby has been here forever.,WISE.PAK\WISE.EMC,
Why do birds need baths?,WISE.PAK\WISE.EMC,
I've never seen a muddy bird.,WISE.PAK\WISE.EMC,
Cheep Cheep,WISE.PAK\WISE.EMC,
Is that bird ALWAYS here?,WISE.PAK\WISE.EMC,
The oldest tree in Kyrandia,WISE.PAK\WISE.EMC,
I'd love to sit down...,WISE.PAK\WISE.EMC,
,TEMPLE.PAK\TEMPLE.EMC,
I see now.,TEMPLE.PAK\TEMPLE.EMC,
That's impressive!,TEMPLE.PAK\TEMPLE.EMC,
This is not fair!,TEMPLE.PAK\TEMPLE.EMC,
I'm getting tired of this!,TEMPLE.PAK\TEMPLE.EMC,
Why am I doing this?,TEMPLE.PAK\TEMPLE.EMC,
This is depressing.,TEMPLE.PAK\TEMPLE.EMC,
What do I have to do?,TEMPLE.PAK\TEMPLE.EMC,
I see now.,TEMPLE.PAK\TEMPLE.EMC,
There we go!,TEMPLE.PAK\TEMPLE.EMC,
What's so hard about that?,TEMPLE.PAK\TEMPLE.EMC,
All right!,TEMPLE.PAK\TEMPLE.EMC,
I placed the second correct gemstone!,TEMPLE.PAK\TEMPLE.EMC,
I placed the third correct gemstone!,TEMPLE.PAK\TEMPLE.EMC,
Yes!,TEMPLE.PAK\TEMPLE.EMC,
I placed the last gemstone...,TEMPLE.PAK\TEMPLE.EMC,
...I've finished the quest!,TEMPLE.PAK\TEMPLE.EMC,
ALTER.WSA,TEMPLE.PAK\TEMPLE.EMC,
Oh!,TEMPLE.PAK\TEMPLE.EMC,
What's that?,TEMPLE.PAK\TEMPLE.EMC,
Nice work.  Very professional.,TEMPLE.PAK\TEMPLE.EMC,
It feels like some unseen force is pulling my gemstone toward the gold dish.,TEMPLE.PAK\TEMPLE.EMC,
What am I?  A masonry inspector?,TEMPLE.PAK\TEMPLE.EMC,
How do they get this so smooth?,TEMPLE.PAK\TEMPLE.EMC,
Hmm?  It's being pushed away!,TEMPLE.PAK\TEMPLE.EMC,
A flute?,TEMPLE.PAK\TEMPLE.EMC,
Watch out Malcolm!,TEMPLE.PAK\TEMPLE.EMC,
I'm coming to get you and I've got a flute now!,TEMPLE.PAK\TEMPLE.EMC,
The magical dish is now gone.,TEMPLE.PAK\TEMPLE.EMC,
A golden dish.,TEMPLE.PAK\TEMPLE.EMC,
Any porridge left in there?,TEMPLE.PAK\TEMPLE.EMC,
It vanished in a burst of flames!,TEMPLE.PAK\TEMPLE.EMC,
Hmm.  This must be finished.,TEMPLE.PAK\TEMPLE.EMC,
It is being pushed away from the dish by some unseen force.,TEMPLE.PAK\TEMPLE.EMC,
A marble altar,TEMPLE.PAK\TEMPLE.EMC,
,KYRAGEM.PAK\KYRAGEM.EMC,
This must be the Kyragem!,KYRAGEM.PAK\KYRAGEM.EMC,
A mirror -- I can see myself.,KYRAGEM.PAK\KYRAGEM.EMC,
A mirror.,KYRAGEM.PAK\KYRAGEM.EMC,
Now I think he's really mad!,KYRAGEM.PAK\KYRAGEM.EMC,
,NCLIFF.PAK\NCLIFF.EMC,
A tall cliff,NCLIFF.PAK\NCLIFF.EMC,
,FNORTH.PAK\FNORTH.EMC,
Dark forest,FNORTH.PAK\FNORTH.EMC,
"Over here, slow-poke!",FNORTH.PAK\FNORTH.EMC,
,FOUNTN.PAK\FOUNTN.EMC,
FOUNTAN1.WSA,FOUNTN.PAK\FOUNTN.EMC,
FTNTALK.WSA,FOUNTN.PAK\FOUNTN.EMC,
Ahoy there matey.,FOUNTN.PAK\FOUNTN.EMC,
How goes your quest?,FOUNTN.PAK\FOUNTN.EMC,
I have a few tricks up my sleeve.,FOUNTN.PAK\FOUNTN.EMC,
Are you ready now?,FOUNTN.PAK\FOUNTN.EMC,
Shall we joust?,FOUNTN.PAK\FOUNTN.EMC,
At this moment I only seek water from the fountain.,FOUNTN.PAK\FOUNTN.EMC,
What a shame!,FOUNTN.PAK\FOUNTN.EMC,
My finger bath is boring now...,FOUNTN.PAK\FOUNTN.EMC,
...and I MUST have some fun.,FOUNTN.PAK\FOUNTN.EMC,
Perhaps some hide and seek will amuse us both.,FOUNTN.PAK\FOUNTN.EMC,
"If you need water, you'll have to fix the fountain first.",FOUNTN.PAK\FOUNTN.EMC,
I cannot tell you where to look.,FOUNTN.PAK\FOUNTN.EMC,
For that is neither fair nor fun!,FOUNTN.PAK\FOUNTN.EMC,
FOUNTAN2.WSA,FOUNTN.PAK\FOUNTN.EMC,
HA HA HA,FOUNTN.PAK\FOUNTN.EMC,
The water is sparkling.,FOUNTN.PAK\FOUNTN.EMC,
If I get these shoes wet I'll never make it to the castle.,FOUNTN.PAK\FOUNTN.EMC,
This flask is already filled.,FOUNTN.PAK\FOUNTN.EMC,
Hmm.  Worth a try.,FOUNTN.PAK\FOUNTN.EMC,
I wonder if she knows she's spilling?,FOUNTN.PAK\FOUNTN.EMC,
The Enchanted Fountain,FOUNTN.PAK\FOUNTN.EMC,
,ARCH.PAK\ARCH.EMC,
Rats!  I'd like to pry one of these off!,ARCH.PAK\ARCH.EMC,
The Cavern of Twilight,ARCH.PAK\ARCH.EMC,
Ahh!,ARCH.PAK\ARCH.EMC,
,GEMCUT.PAK\GEMCUT.EMC,
Can I cut you out?,GEMCUT.PAK\GEMCUT.EMC,אני יכול לנסר אותך החוצה?
"Uh-Oh, maybe these teeth can be repaired.",GEMCUT.PAK\GEMCUT.EMC,"או-או, אולי אפשר לתקן את השיניים האלה."
It was worth a try.,GEMCUT.PAK\GEMCUT.EMC,היה שווה לנסות.
I'll have this fixed.,GEMCUT.PAK\GEMCUT.EMC,אני אתקן את זה.
Rocks.,GEMCUT.PAK\GEMCUT.EMC,סלעים.
Several rocks.,GEMCUT.PAK\GEMCUT.EMC,כמה סלעים.
Why do I keep touching this?,GEMCUT.PAK\GEMCUT.EMC,למה אני ממשיך לגעת בזה?
How can these help?,GEMCUT.PAK\GEMCUT.EMC,איך זה יעזור?
BRANTREE.WSA,GEMCUT.PAK\GEMCUT.EMC,
FACE.WSA,GEMCUT.PAK\GEMCUT.EMC,
FACE2.WSA,GEMCUT.PAK\GEMCUT.EMC,
Brandon?,GEMCUT.PAK\GEMCUT.EMC,ברנדון?
What?,GEMCUT.PAK\GEMCUT.EMC,מה?
Who said that?,GEMCUT.PAK\GEMCUT.EMC,מי אמר את זה?
"Are you Brandon, grandson of Kallak?",GEMCUT.PAK\GEMCUT.EMC,"האם אתה ברנדון, נכדו של חיליק?"
I am.,GEMCUT.PAK\GEMCUT.EMC,הנני.
What are you?,GEMCUT.PAK\GEMCUT.EMC,מה אתה?
We are of the Other Kingdom.,GEMCUT.PAK\GEMCUT.EMC,אנחנו מהממלכה האחרת.
We speak for the Land.,GEMCUT.PAK\GEMCUT.EMC,אנחנו מדברים בשם הארץ.
Why would the Land speak to me?,GEMCUT.PAK\GEMCUT.EMC,למה שהארץ תרצה לדבר אתי?
"We are dying, Brandon.",GEMCUT.PAK\GEMCUT.EMC,"אנחנו גוססים, ברנדון."
Magic spells of an evil intent have upset the balance of nature.,GEMCUT.PAK\GEMCUT.EMC,לחשי קסם למטרות רוע הפרו את האיזון בטבע.
Can't you use your magic to fight this evil?,GEMCUT.PAK\GEMCUT.EMC,לא תוכלו להשתמש בקסם שלכם כדי להילחם ברוע?
Evil exists only in the Kingdom of Man.,GEMCUT.PAK\GEMCUT.EMC,הרוע קיים רק בממלכת בני האדם.
The Land has no evil...,GEMCUT.PAK\GEMCUT.EMC,לארץ אין רוע...
"...and thus, no defense against it.",GEMCUT.PAK\GEMCUT.EMC,"...ולפיכך, אין לה הגנה מפניו."
But-- why is this happening now?,GEMCUT.PAK\GEMCUT.EMC,אבל-- מדוע זה קורה עכשיו?
"The magic Kyragem, symbol of the trust between our kingdoms, has been corrupted.",GEMCUT.PAK\GEMCUT.EMC,"הקירגלית הקסומה, הסמל לאמון שבין הממלכות, הושחתה."
"Now, it can no longer protect us.",GEMCUT.PAK\GEMCUT.EMC,"כעת, אינה יכולה היא להגן עלינו עוד."
"You, Brandon, must oppose on our behalf.",GEMCUT.PAK\GEMCUT.EMC,"עליך, ברנדון, להתנגד בשמנו."
What!?,GEMCUT.PAK\GEMCUT.EMC,מה!?
Why me?,GEMCUT.PAK\GEMCUT.EMC,למה אני?
"You have been chosen, Grandson of Kallak.",GEMCUT.PAK\GEMCUT.EMC,"נבחרת, נכדו של חיליק."
Your destiny was forged before your birth.,GEMCUT.PAK\GEMCUT.EMC,גורלך נקבע בטרם נולדת.
But I wouldn't know where to start.,GEMCUT.PAK\GEMCUT.EMC,אבל אין לי מושג היכן להתחיל.
"Let your faith guide you, Brandon.",GEMCUT.PAK\GEMCUT.EMC,"תן לאמונתך להראות לך את הדרך, ברנדון."
Prepare for your journey.,GEMCUT.PAK\GEMCUT.EMC,התכונן למסע שלך.
Wait!,GEMCUT.PAK\GEMCUT.EMC,חכה!
What about--,GEMCUT.PAK\GEMCUT.EMC,מה לגבי--
TOUCH.WSA,GEMCUT.PAK\GEMCUT.EMC,
What happened to my Grandfather?,GEMCUT.PAK\GEMCUT.EMC,מה קרה לסבא שלי?
Anything else in here?,GEMCUT.PAK\GEMCUT.EMC,יש כאן עוד משהו?
I thought my sandals were in here.,GEMCUT.PAK\GEMCUT.EMC,חשבתי שהסנדלים שלי בפנים.
An apple!,GEMCUT.PAK\GEMCUT.EMC, תפוח!
Hello again.,GEMCUT.PAK\GEMCUT.EMC,שוב שלום.
It fell into the vase!,GEMCUT.PAK\GEMCUT.EMC,זה נפל לאגרטל!
I think there's already something in there.,GEMCUT.PAK\GEMCUT.EMC,נדמה לי שכבר יש משהו בפנים.
The tree was right.,GEMCUT.PAK\GEMCUT.EMC,העץ צודק.
The land IS dying.,GEMCUT.PAK\GEMCUT.EMC,הארץ באמת גוססת.
I can see plenty of dead trees from here.,GEMCUT.PAK\GEMCUT.EMC,אני רואה מכאן המון עצים מתים.
"Brynn, Brynn!",GEMCUT.PAK\GEMCUT.EMC,"ברין, ברין!"
Come quick!,GEMCUT.PAK\GEMCUT.EMC,בואי מהר!
Guess she didn't hear me.,GEMCUT.PAK\GEMCUT.EMC,כנראה היא לא שומעת אותי.
I'll have to go get her.,GEMCUT.PAK\GEMCUT.EMC,אני אאלץ ללכת להביא אותה.
Should I lay Grandfather on the bed?,GEMCUT.PAK\GEMCUT.EMC,כדאי שאשכיב את סבא במיטה?
I don't think there's any way to move him.,GEMCUT.PAK\GEMCUT.EMC,לא נראה לי שיש דרך להזיז אותו.
"I can't take this, he'll need the light.",GEMCUT.PAK\GEMCUT.EMC,"לא אוכל לקחת את זה, הוא יזדקק לאור."
The Mystic Book Club.,GEMCUT.PAK\GEMCUT.EMC,מועדון הקריאה המיסטי.
"Nice covers, but lousy reading.",GEMCUT.PAK\GEMCUT.EMC,"אחלה כריכות, אבל חומר הקריאה מעפן."
Grandfather's saw.,GEMCUT.PAK\GEMCUT.EMC,המסור של סבא.
I don't want to carry this around!,GEMCUT.PAK\GEMCUT.EMC,אני לא רוצה להיסחב עם זה!
I don't think he can chew.,GEMCUT.PAK\GEMCUT.EMC,לא חושב שהוא מסוגל ללעוס.
GRANDPA.WSA,GEMCUT.PAK\GEMCUT.EMC,
"Grandfather, can you hear me?",GEMCUT.PAK\GEMCUT.EMC,"סבא, אתה שומע אותי?"
A note.,GEMCUT.PAK\GEMCUT.EMC, פתק.
Anything in here?,GEMCUT.PAK\GEMCUT.EMC,יש כאן משהו?
Brandon's home,GEMCUT.PAK\GEMCUT.EMC,הבית של ברנדון
Grandfather!,GEMCUT.PAK\GEMCUT.EMC,סבא!
What happened to you?!?,GEMCUT.PAK\GEMCUT.EMC,מה קרה לך?!?
Perhaps my magic can heal Grandfather...,GEMCUT.PAK\GEMCUT.EMC,אולי הקסם שלי יוכל לרפא את סבא...
I'm sorry Grandfather...,GEMCUT.PAK\GEMCUT.EMC,מצטער סבא...
,EXTSPEL.PAK\EXTSPEL.EMC,
Another big sign...,EXTSPEL.PAK\EXTSPEL.EMC,
...but no front door.,EXTSPEL.PAK\EXTSPEL.EMC,
I should plant one of these in our yard.,EXTSPEL.PAK\EXTSPEL.EMC,
"Is this thatch, or just weeds thrown on the roof?",EXTSPEL.PAK\EXTSPEL.EMC,
A strange hut,EXTSPEL.PAK\EXTSPEL.EMC,
Hello--,EXTSPEL.PAK\EXTSPEL.EMC,
Anybody home?,EXTSPEL.PAK\EXTSPEL.EMC,
"(Boy, it's dark in here.)",EXTSPEL.PAK\EXTSPEL.EMC,
Darm?,EXTSPEL.PAK\EXTSPEL.EMC,
,LEPHOLE.PAK\LEPHOLE.EMC,
I told you...,LEPHOLE.PAK\LEPHOLE.EMC,
Bring me something good and I'll trade for the chalice.,LEPHOLE.PAK\LEPHOLE.EMC,
"Fine, I'll play your little game.",LEPHOLE.PAK\LEPHOLE.EMC,
"How about a big, juicy apple?",LEPHOLE.PAK\LEPHOLE.EMC,
Now that sounds GOOD!,LEPHOLE.PAK\LEPHOLE.EMC,
I'm not tall enough to pick apples!,LEPHOLE.PAK\LEPHOLE.EMC,
"Well, where did you hide my chalice?",LEPHOLE.PAK\LEPHOLE.EMC,
"I hid MY chalice outside, you big oaf.",LEPHOLE.PAK\LEPHOLE.EMC,
Go outside and take a look.,LEPHOLE.PAK\LEPHOLE.EMC,
How about a blueberry?,LEPHOLE.PAK\LEPHOLE.EMC,
"Blueberries are okay, but I eat them all the time.",LEPHOLE.PAK\LEPHOLE.EMC,
"Since I'm so small, they're easy to pick.",LEPHOLE.PAK\LEPHOLE.EMC,
How about this?,LEPHOLE.PAK\LEPHOLE.EMC,
That's obviously a fake...,LEPHOLE.PAK\LEPHOLE.EMC,
...too big to be real.,LEPHOLE.PAK\LEPHOLE.EMC,
How about this?,LEPHOLE.PAK\LEPHOLE.EMC,
"No, I said I want something good.",LEPHOLE.PAK\LEPHOLE.EMC,
I don't need anything else from you.,LEPHOLE.PAK\LEPHOLE.EMC,
Go outside and look for the chalice.,LEPHOLE.PAK\LEPHOLE.EMC,
You'll find it.,LEPHOLE.PAK\LEPHOLE.EMC,
"No, forget it...",LEPHOLE.PAK\LEPHOLE.EMC,
I don't want it back.,LEPHOLE.PAK\LEPHOLE.EMC,
Just take it and go.,LEPHOLE.PAK\LEPHOLE.EMC,
I don't need anything else from you...,LEPHOLE.PAK\LEPHOLE.EMC,
I've given you my chalice...,LEPHOLE.PAK\LEPHOLE.EMC,
My only prize posession...,LEPHOLE.PAK\LEPHOLE.EMC,
Just go now.,LEPHOLE.PAK\LEPHOLE.EMC,
JUMP.WSA,LEPHOLE.PAK\LEPHOLE.EMC,
Ever thought of putting in some stairs?,LEPHOLE.PAK\LEPHOLE.EMC,
LEPCLIMB.WSA,LEPHOLE.PAK\LEPHOLE.EMC,
Inside a tiny dwelling,LEPHOLE.PAK\LEPHOLE.EMC,
LEPHOLE.WSA,LEPHOLE.PAK\LEPHOLE.EMC,
You have my chalice!,LEPHOLE.PAK\LEPHOLE.EMC,
I have MY chalice.,LEPHOLE.PAK\LEPHOLE.EMC,
"No, it's mine!",LEPHOLE.PAK\LEPHOLE.EMC,
"Yes, it's MINE.",LEPHOLE.PAK\LEPHOLE.EMC,
Why would you want it?,LEPHOLE.PAK\LEPHOLE.EMC,
It would make your other furnishings look bad by comparison.,LEPHOLE.PAK\LEPHOLE.EMC,
"By the way, where is my chalice?",LEPHOLE.PAK\LEPHOLE.EMC,
I have hidden it in a very safe place.,LEPHOLE.PAK\LEPHOLE.EMC,
Give me something good and I'll give it to you.,LEPHOLE.PAK\LEPHOLE.EMC,
,DNSTAIR.PAK\DNSTAIR.EMC,
Wow!,DNSTAIR.PAK\DNSTAIR.EMC,
This is incredible!,DNSTAIR.PAK\DNSTAIR.EMC,
It's huge!,DNSTAIR.PAK\DNSTAIR.EMC,
SLIDE1.WSA,DNSTAIR.PAK\DNSTAIR.EMC,
Welcome Lad!,DNSTAIR.PAK\DNSTAIR.EMC,
SLIDE2.WSA,DNSTAIR.PAK\DNSTAIR.EMC,
I see you got passed my puppies!,DNSTAIR.PAK\DNSTAIR.EMC,
You must be VERY clever!,DNSTAIR.PAK\DNSTAIR.EMC,
"But since you've made it, you'll have to stay.",DNSTAIR.PAK\DNSTAIR.EMC,
You will not be able to leave this island.,DNSTAIR.PAK\DNSTAIR.EMC,
I have but 2 rules here in my home:,DNSTAIR.PAK\DNSTAIR.EMC,
Do not disturb my morning naps...,DNSTAIR.PAK\DNSTAIR.EMC,
...and enter not the Kyra-vault!,DNSTAIR.PAK\DNSTAIR.EMC,
Move aside you purple windbag!,DNSTAIR.PAK\DNSTAIR.EMC,
"Now, now.  I've been patient...",DNSTAIR.PAK\DNSTAIR.EMC,
Can we not continue?,DNSTAIR.PAK\DNSTAIR.EMC,
"Oh, and yes!",DNSTAIR.PAK\DNSTAIR.EMC,
A friend of yours now serves me here.,DNSTAIR.PAK\DNSTAIR.EMC,
Oh Herman... Herman... Brandon is here!,DNSTAIR.PAK\DNSTAIR.EMC,
Hmmm?  I don't know where he is...,DNSTAIR.PAK\DNSTAIR.EMC,
...but I'm sure that he'll find you.,DNSTAIR.PAK\DNSTAIR.EMC,
He really wants to return your saw.,DNSTAIR.PAK\DNSTAIR.EMC,
Ha Ha Ha,DNSTAIR.PAK\DNSTAIR.EMC,
What a fool!,DNSTAIR.PAK\DNSTAIR.EMC,
I can't wait to smack him!,DNSTAIR.PAK\DNSTAIR.EMC,
Boy!  Big stairs.,DNSTAIR.PAK\DNSTAIR.EMC,
I wonder where they go?,DNSTAIR.PAK\DNSTAIR.EMC,
I keep expecting banana peels here.,DNSTAIR.PAK\DNSTAIR.EMC,
Here I go again!,DNSTAIR.PAK\DNSTAIR.EMC,
UPSTAIRS.WSA,DNSTAIR.PAK\DNSTAIR.EMC,
Castle entry hall,DNSTAIR.PAK\DNSTAIR.EMC,
,LAVA.PAK\LAVA.EMC,
This heat is pretty intense...,LAVA.PAK\LAVA.EMC,
...but I know I can take it!,LAVA.PAK\LAVA.EMC,
BRANBRN.WSA,LAVA.PAK\LAVA.EMC,
Not a problem...,LAVA.PAK\LAVA.EMC,
I'm burning!,LAVA.PAK\LAVA.EMC,
,LAVA.PAK\LAVA.EMC,
"A subterranean, volcanic river",LAVA.PAK\LAVA.EMC,
,FORESTB.PAK\FORESTB.EMC,
(Hmm...),FORESTB.PAK\FORESTB.EMC,
"(Thought I'd sneak around the other way, huh?)",FORESTB.PAK\FORESTB.EMC,
TAG-0.WSA,FORESTB.PAK\FORESTB.EMC,
TAG.WSA,FORESTB.PAK\FORESTB.EMC,
"Let go of the branch, Merith.",FORESTB.PAK\FORESTB.EMC,
I'll catch you.,FORESTB.PAK\FORESTB.EMC,
"Very funny, Brandon.",FORESTB.PAK\FORESTB.EMC,
You can have the marble!,FORESTB.PAK\FORESTB.EMC,
I'm not playing with you anymore!,FORESTB.PAK\FORESTB.EMC,
"Thanks, Merith.",FORESTB.PAK\FORESTB.EMC,
Dark forest,FORESTB.PAK\FORESTB.EMC,
"Over here, slow-poke!",FORESTB.PAK\FORESTB.EMC,
I'm NOT chasing you!,FORESTB.PAK\FORESTB.EMC,
Aaugh--,FORESTB.PAK\FORESTB.EMC,
Great--,FORESTB.PAK\FORESTB.EMC,
,ALTAR.PAK\ALTAR.EMC,
Ow !  I hope this is what Brynn wants.,ALTAR.PAK\ALTAR.EMC,
Ow!,ALTAR.PAK\ALTAR.EMC,
Nasty thorns!,ALTAR.PAK\ALTAR.EMC,
I'll take a whole bouquet.,ALTAR.PAK\ALTAR.EMC,
I already picked the rose that used to be there.,ALTAR.PAK\ALTAR.EMC,
Is it missing a piece?,ALTAR.PAK\ALTAR.EMC,
That fits tight even without glue!,ALTAR.PAK\ALTAR.EMC,
Hey!  Perfect fit!,ALTAR.PAK\ALTAR.EMC,
Must be fixed now!,ALTAR.PAK\ALTAR.EMC,
Is it broken?,ALTAR.PAK\ALTAR.EMC,
The altar radiates an intense magic.,ALTAR.PAK\ALTAR.EMC,
Wow!,ALTAR.PAK\ALTAR.EMC,
That must be the amulet!,ALTAR.PAK\ALTAR.EMC,
"Hey, this is going to be easy!",ALTAR.PAK\ALTAR.EMC,
This altar used to glow with magic.,ALTAR.PAK\ALTAR.EMC,
Hmm.  It's humming.,ALTAR.PAK\ALTAR.EMC,
It certainly has a healthy glow!,ALTAR.PAK\ALTAR.EMC,
,CATACOM.PAK\CATACOM.EMC,
Looks like some kind of magical force field.,CATACOM.PAK\CATACOM.EMC,
This has to fit something.,CATACOM.PAK\CATACOM.EMC,
Nothing else in there.,CATACOM.PAK\CATACOM.EMC,
"A dank, dungeon passage",CATACOM.PAK\CATACOM.EMC,
This might work.,CATACOM.PAK\CATACOM.EMC,
,FSOUTH.PAK\FSOUTH.EMC,
Dark forest,FSOUTH.PAK\FSOUTH.EMC,
,XEDGE.PAK\XEDGE.EMC,
SAW.WSA,XEDGE.PAK\XEDGE.EMC,
Almost finished?,XEDGE.PAK\XEDGE.EMC,
Why don't you go visit Brynn in the temple?,XEDGE.PAK\XEDGE.EMC,
"Oh, so now you're in a hurry.",XEDGE.PAK\XEDGE.EMC,
"If you watch, it's going to cost you extra.",XEDGE.PAK\XEDGE.EMC,
"I'd let you help, but I don't like to loan tools.",XEDGE.PAK\XEDGE.EMC,
"Well, this saw of yours could use a sharpening.",XEDGE.PAK\XEDGE.EMC,
Don't you have something else to do?,XEDGE.PAK\XEDGE.EMC,
It's still gonna take a while to get through this tree.,XEDGE.PAK\XEDGE.EMC,
"Okay, I'll come back later.",XEDGE.PAK\XEDGE.EMC,
,BRINS.PAK\BRINS.EMC,
Brynn... I always took her for granite.,BRINS.PAK\BRINS.EMC,
She was always so kind to me.,BRINS.PAK\BRINS.EMC,
Looks like it might storm pretty soon.,BRINS.PAK\BRINS.EMC,
I can't think of sleep at a time like this.,BRINS.PAK\BRINS.EMC,
"Judging by the decor, this must have been Brynn's bedroom.",BRINS.PAK\BRINS.EMC,
A bedroom,BRINS.PAK\BRINS.EMC,
I'll try this on you Brynn...,BRINS.PAK\BRINS.EMC,
,KITCHEN.PAK\KITCHEN.EMC,
This is a fancy poker!,KITCHEN.PAK\KITCHEN.EMC,
Now that's a knife!,KITCHEN.PAK\KITCHEN.EMC,
Look's like they're filled with dust.,KITCHEN.PAK\KITCHEN.EMC,
I wouldn't dare drink anything from that!,KITCHEN.PAK\KITCHEN.EMC,
This looks vicious!,KITCHEN.PAK\KITCHEN.EMC,
What a pig!,KITCHEN.PAK\KITCHEN.EMC,
Anything in here?,KITCHEN.PAK\KITCHEN.EMC,
,BALCONY.PAK\BALCONY.EMC,
Hmm.  Nothing!,BALCONY.PAK\BALCONY.EMC,
This place sure has a strange floorplan!,BALCONY.PAK\BALCONY.EMC,
I'm not jumping all the way down there!,BALCONY.PAK\BALCONY.EMC,
The Great Hall,BALCONY.PAK\BALCONY.EMC,
,GLADE.PAK\GLADE.EMC,
LEP_OUT.WSA,GLADE.PAK\GLADE.EMC,
"Finally, somebody has a front door.",GLADE.PAK\GLADE.EMC,
"Hey, Pipsqueak!",GLADE.PAK\GLADE.EMC,
Are you in there?,GLADE.PAK\GLADE.EMC,
That troublesome little Faun lives in there.,GLADE.PAK\GLADE.EMC,
Was that a pack-rat?,GLADE.PAK\GLADE.EMC,
Hmm?,GLADE.PAK\GLADE.EMC,
,LAGOON.PAK\LAGOON.EMC,
WILOFISH.WSA,LAGOON.PAK\LAGOON.EMC,
That's exotic.,LAGOON.PAK\LAGOON.EMC,
Solid gold!,LAGOON.PAK\LAGOON.EMC,
Somebody's rich.,LAGOON.PAK\LAGOON.EMC,
Wish I knew how to swim.,LAGOON.PAK\LAGOON.EMC,
Is that where the castle is?,LAGOON.PAK\LAGOON.EMC,
A tropical lagoon,LAGOON.PAK\LAGOON.EMC,
,STUMP.PAK\STUMP.EMC,
CTRAP1.WSA,STUMP.PAK\STUMP.EMC,
Whoa!  Someone hid this inside the stump!,STUMP.PAK\STUMP.EMC,
I guess there's nothing else in there.,STUMP.PAK\STUMP.EMC,
A strange stump,STUMP.PAK\STUMP.EMC,
CTRAP2.WSA,STUMP.PAK\STUMP.EMC,
"Hello, hello?",STUMP.PAK\STUMP.EMC,
,TRUNK.PAK\TRUNK.EMC,
DROPUP.WSA,TRUNK.PAK\TRUNK.EMC,
Below Brandon's home,TRUNK.PAK\TRUNK.EMC,מתחת לביתו של ברנדון
DROPDOWN.WSA,TRUNK.PAK\TRUNK.EMC,
Can't you move any faster?,TRUNK.PAK\TRUNK.EMC,
,CASTLE.PAK\CASTLE.EMC,
RIDGE.WSA,CASTLE.PAK\CASTLE.EMC,
A high bluff,CASTLE.PAK\CASTLE.EMC,
,BURN.PAK\BURN.EMC,
Crystal Ball taken.,BURN.PAK\BURN.EMC,
Ha!  Does he think I'm stupid?,BURN.PAK\BURN.EMC,
Now I have the Crystal Ball.,BURN.PAK\BURN.EMC,
Ow!  Thats hot!,BURN.PAK\BURN.EMC,
Rats!  And me with no hot-dogs.,BURN.PAK\BURN.EMC,
Ow!,BURN.PAK\BURN.EMC,
A flaming tree,BURN.PAK\BURN.EMC,
A rocky outcropping,BURN.PAK\BURN.EMC,
,CAVEB.PAK\CAVEB.EMC,
The Timbermist Woods,CAVEB.PAK\CAVEB.EMC,
A cavernous entrance,CAVEB.PAK\CAVEB.EMC,
Uh oh!,CAVEB.PAK\CAVEB.EMC,
I think I'm in trouble now!,CAVEB.PAK\CAVEB.EMC,
I'd like to find this Malcolm.,CAVEB.PAK\CAVEB.EMC,
,FALLS.PAK\FALLS.EMC,
Blueberries.,FALLS.PAK\FALLS.EMC,
,LANDING.PAK\LANDING.EMC,
A dark island,LANDING.PAK\LANDING.EMC,
LANDING.WSA,LANDING.PAK\LANDING.EMC,
Oh! That was wild!,LANDING.PAK\LANDING.EMC,
Whoops...,LANDING.PAK\LANDING.EMC,
,MOONCAV.PAK\MOONCAV.EMC,
At last you've come!,MOONCAV.PAK\MOONCAV.EMC,
I have been waiting for so long!,MOONCAV.PAK\MOONCAV.EMC,
Can you take me with you?,MOONCAV.PAK\MOONCAV.EMC,
Please ignore her.,MOONCAV.PAK\MOONCAV.EMC,
She cannot think clearly.,MOONCAV.PAK\MOONCAV.EMC,
I am glad to see you and would like to go with you when you leave.,MOONCAV.PAK\MOONCAV.EMC,
We both can't go!,MOONCAV.PAK\MOONCAV.EMC,
Well I'm not staying!,MOONCAV.PAK\MOONCAV.EMC,
I hate it here!,MOONCAV.PAK\MOONCAV.EMC,
I have been here longer.,MOONCAV.PAK\MOONCAV.EMC,
I should leave first.,MOONCAV.PAK\MOONCAV.EMC,
We came together!,MOONCAV.PAK\MOONCAV.EMC,
"You will recall, I entered first.",MOONCAV.PAK\MOONCAV.EMC,
You were taunting shadow wraiths.,MOONCAV.PAK\MOONCAV.EMC,
One of us must stay...,MOONCAV.PAK\MOONCAV.EMC,
...until the altar is completed.,MOONCAV.PAK\MOONCAV.EMC,
Why don't you finish it yourselves...,MOONCAV.PAK\MOONCAV.EMC,
...and then you both could leave?,MOONCAV.PAK\MOONCAV.EMC,
We serve the Master of Tides and Love.,MOONCAV.PAK\MOONCAV.EMC,
We are not craftsmen!,MOONCAV.PAK\MOONCAV.EMC,
"But YOU could do it, though.",MOONCAV.PAK\MOONCAV.EMC,
And then we all could go!,MOONCAV.PAK\MOONCAV.EMC,
What needs to be done?,MOONCAV.PAK\MOONCAV.EMC,
We don't know.,MOONCAV.PAK\MOONCAV.EMC,
"WE only know how to float, and we could teach you.",MOONCAV.PAK\MOONCAV.EMC,
If I can think of what to do...,MOONCAV.PAK\MOONCAV.EMC,
...I will return.,MOONCAV.PAK\MOONCAV.EMC,
